quarters,name,region,number,min_salary,max_salary,avg_min_salary,avg_max_salary
1,Специалист по обеспечению металлургического производства кислородом и инертными газами,Ростовская область,3,22000,22000,,
1,Специалист по обеспечению металлургического производства кислородом и инертными газами,Калужская область,4,18000,27000,,
1,Специалист по обеспечению металлургического производства кислородом и инертными газами,Ханты-Мансийский автономный округ - Югра,2,35000,45000,,
1,Специалист по обеспечению металлургического производства кислородом и инертными газами,Ямало-Ненецкий автономный округ,5,28200,41000,,
1,Специалист по обеспечению металлургического производства кислородом и инертными газами,Рязанская область,3,18000,37500,,
1,Специалист по обеспечению металлургического производства кислородом и инертными газами,Нижегородская область,3,25000,30000,,
1,Специалист по обеспечению металлургического производства кислородом и инертными газами,Республика Татарстан,5,18000,45000,,
1,Специалист по обеспечению металлургического производства кислородом и инертными газами,Кемеровская область,1,25000,25000,,
1,Специалист по обеспечению металлургического производства кислородом и инертными газами,Хабаровский край,2,45000,67500,,
1,Специалист по обеспечению металлургического производства кислородом и инертными газами,Республика Марий Эл,1,18000,27000,,
1,Специалист по обеспечению металлургического производства кислородом и инертными газами,Московская область,11,14200,23000,,
1,Специалист по обеспечению металлургического производства кислородом и инертными газами,Кировская область,2,24000,36000,,
1,Специалист по обеспечению металлургического производства кислородом и инертными газами,Тверская область,2,15000,15000,,
1,Специалист по обеспечению металлургического производства кислородом и инертными газами,Краснодарский край,13,12000,52500,,
1,Специалист по обеспечению металлургического производства кислородом и инертными газами,Приморский край,2,17000,18000,,
1,Специалист по обеспечению металлургического производства кислородом и инертными газами,Омская область,3,15000,15000,,
1,Специалист по обеспечению металлургического производства кислородом и инертными газами,Самарская область,4,17000,34483,,
1,Специалист по обеспечению металлургического производства кислородом и инертными газами,Курганская область,3,15000,30000,,
1,Специалист по обеспечению металлургического производства кислородом и инертными газами,г. Москва,8,30000,80000,,
1,Специалист по обеспечению металлургического производства кислородом и инертными газами,Тюменская область,6,18000,34000,,
1,Специалист по обеспечению металлургического производства кислородом и инертными газами,Мурманская область,2,40000,50000,,
1,Работник по нанесению износостойких покрытий на металлические изделия,Республика Саха (Якутия),4,25000,37500,,
1,Работник по нанесению износостойких покрытий на металлические изделия,Калининградская область,3,26000,39000,,
1,Работник по нанесению износостойких покрытий на металлические изделия,Новосибирская область,3,22000,22000,,
1,Работник по нанесению износостойких покрытий на металлические изделия,Свердловская область,6,20000,34500,,
1,Работник по нанесению износостойких покрытий на металлические изделия,Удмуртская Республика,6,20000,25000,,
1,Работник по нанесению износостойких покрытий на металлические изделия,Республика Башкортостан,2,30000,45000,,
1,Работник по нанесению износостойких покрытий на металлические изделия,Ростовская область,3,30000,30000,,
1,Работник по нанесению износостойких покрытий на металлические изделия,Чувашская Республика,2,25000,37500,,
1,Работник по нанесению износостойких покрытий на металлические изделия,Кемеровская область,7,15000,39000,,
1,Работник по нанесению износостойких покрытий на металлические изделия,Московская область,3,30000,45000,,
1,Работник по нанесению износостойких покрытий на металлические изделия,Приморский край,7,20000,33000,,
1,Работник по нанесению износостойких покрытий на металлические изделия,Ленинградская область,1,28000,42000,,
1,Работник по нанесению износостойких покрытий на металлические изделия,Иркутская область,6,15000,45000,,
1,Работник по нанесению износостойких покрытий на металлические изделия,Забайкальский край,5,25000,37500,,
1,Работник по нанесению износостойких покрытий на металлические изделия,Ивановская область,3,23000,25000,,
1,Работник по нанесению износостойких покрытий на металлические изделия,Красноярский край,24,18512,60000,,
1,Работник по нанесению износостойких покрытий на металлические изделия,г. Москва,3,35000,35000,,
1,Работник по нанесению износостойких покрытий на металлические изделия,Волгоградская область,1,17000,25500,,
1,Работник по нанесению износостойких покрытий на металлические изделия,Алтайский край,1,18000,18000,,
1,Работник по нанесению износостойких покрытий на металлические изделия,Сахалинская область,3,30000,30000,,
1,Работник по нанесению износостойких покрытий на металлические изделия,Ярославская область,4,11163,27000,,
1,Работник по нанесению износостойких покрытий на металлические изделия,г. Санкт-Петербург,3,45000,67500,,
1,Работник по нанесению износостойких покрытий на металлические изделия,Тульская область,5,19226,34000,,
1,Работник по нанесению износостойких покрытий на металлические изделия,Ульяновская область,1,20000,40000,,
1,Контролер продукции цветной металлургии,Свердловская область,3,13400,20100,,
1,Контролер продукции цветной металлургии,Воронежская область,1,20000,25000,,
1,Контролер продукции цветной металлургии,Иркутская область,3,28000,42000,,
1,Контролер продукции цветной металлургии,Красноярский край,2,23000,34500,,
1,Контролер продукции цветной металлургии,г. Санкт-Петербург,1,30000,30000,,
1,Отжигальщик цветных металлов,Псковская область,2,45000,48000,,
1,Отжигальщик цветных металлов,Республика Татарстан,2,25000,37500,,
1,Отжигальщик цветных металлов,Челябинская область,2,20000,20000,,
1,Отжигальщик цветных металлов,Смоленская область,1,17000,25500,,
1,Отжигальщик цветных металлов,Республика Бурятия,3,20000,20000,,
1,Отжигальщик цветных металлов,Томская область,3,15000,16000,,
1,Отжигальщик цветных металлов,Московская область,7,25000,55000,,
1,Отжигальщик цветных металлов,Пермский край,4,11280,23000,,
1,Отжигальщик цветных металлов,Краснодарский край,1,17500,25000,,
1,Отжигальщик цветных металлов,Самарская область,5,25000,35000,,
1,Отжигальщик цветных металлов,г. Санкт-Петербург,9,24000,75000,,
1,Отжигальщик цветных металлов,Ульяновская область,1,23000,40000,,
1,Литейщик цветных металлов и сплавов,Новосибирская область,1,25000,25000,,
1,Литейщик цветных металлов и сплавов,Свердловская область,2,50000,75000,,
1,Литейщик цветных металлов и сплавов,Саратовская область,2,30000,32000,,
1,Литейщик цветных металлов и сплавов,Республика Башкортостан,1,28000,30000,,
1,Литейщик цветных металлов и сплавов,Ростовская область,6,15000,48000,,
1,Литейщик цветных металлов и сплавов,Псковская область,3,20000,30000,,
1,Литейщик цветных металлов и сплавов,Воронежская область,2,13000,22000,,
1,Литейщик цветных металлов и сплавов,Челябинская область,5,13000,17000,,
1,Литейщик цветных металлов и сплавов,Смоленская область,1,30000,30000,,
1,Литейщик цветных металлов и сплавов,Тверская область,1,22000,33000,,
1,Литейщик цветных металлов и сплавов,Омская область,5,25000,45000,,
1,Литейщик цветных металлов и сплавов,Самарская область,1,25000,37500,,
1,Литейщик цветных металлов и сплавов,Курганская область,1,20000,22000,,
1,Литейщик цветных металлов и сплавов,г. Москва,2,25000,42810,,
1,Литейщик цветных металлов и сплавов,г. Санкт-Петербург,4,33000,56571,,
1,Специалист по производству глинозема,Республика Саха (Якутия),9,28200,90268,,
1,Специалист по производству глинозема,Калининградская область,15,12000,31582,,
1,Специалист по производству глинозема,Новосибирская область,9,25000,40000,,
1,Специалист по производству глинозема,Свердловская область,11,17500,34500,,
1,Специалист по производству глинозема,Республика Хакасия,13,18050,30000,,
1,Специалист по производству глинозема,Удмуртская Республика,3,20000,25000,,
1,Специалист по производству глинозема,Саратовская область,1,40000,60000,,
1,Специалист по производству глинозема,Республика Башкортостан,24,12000,40000,,
1,Специалист по производству глинозема,Ростовская область,6,14300,25000,,
1,Специалист по производству глинозема,Ханты-Мансийский автономный округ - Югра,10,24816,67500,,
1,Специалист по производству глинозема,Ставропольский край,5,11163,40041,,
1,Специалист по производству глинозема,Псковская область,1,25000,30000,,
1,Специалист по производству глинозема,Чувашская Республика,1,20000,20000,,
1,Специалист по производству глинозема,Нижегородская область,9,20000,52000,,
1,Специалист по производству глинозема,Воронежская область,3,11163,48300,,
1,Специалист по производству глинозема,Республика Мордовия,3,27000,45000,,
1,Специалист по производству глинозема,Вологодская область,3,25000,80000,,
1,Специалист по производству глинозема,Республика Татарстан,4,11280,54000,,
1,Специалист по производству глинозема,Кемеровская область,17,14512,52500,,
1,Специалист по производству глинозема,Смоленская область,3,11280,16920,,
1,Специалист по производству глинозема,Владимирская область,1,33000,37000,,
1,Специалист по производству глинозема,Костромская область,1,18000,27000,,
1,Специалист по производству глинозема,Хабаровский край,6,18000,38250,,
1,Специалист по производству глинозема,Республика Марий Эл,6,11163,21120,,
1,Специалист по производству глинозема,Пензенская область,2,11280,15000,,
1,Специалист по производству глинозема,Республика Бурятия,3,20000,20000,,
1,Специалист по производству глинозема,Томская область,4,16920,73000,,
1,Специалист по производству глинозема,Московская область,36,120000,85700,,
1,Специалист по производству глинозема,Белгородская область,6,11800,51600,,
1,Специалист по производству глинозема,Кировская область,4,21000,37500,,
1,Специалист по производству глинозема,Тверская область,2,30000,30000,,
1,Специалист по производству глинозема,Пермский край,32,11280,40000,,
1,Специалист по производству глинозема,Краснодарский край,36,11280,60000,,
1,Специалист по производству глинозема,Приморский край,50,11280,45000,,
1,Специалист по производству глинозема,Ленинградская область,1,15000,40000,,
1,Специалист по производству глинозема,Омская область,2,18000,35000,,
1,Специалист по производству глинозема,Иркутская область,6,18048,63000,,
1,Специалист по производству глинозема,Архангельская область,2,18977,28465,,
1,Специалист по производству глинозема,Самарская область,1,11280,11280,,
1,Специалист по производству глинозема,Забайкальский край,3,50000,50000,,
1,Специалист по производству глинозема,Ивановская область,1,45000,60000,,
1,Специалист по производству глинозема,Республика Крым,8,11280,52500,,
1,Специалист по производству глинозема,Красноярский край,20,18400,57000,,
1,Специалист по производству глинозема,Орловская область,1,20000,25000,,
1,Специалист по производству глинозема,г. Москва,19,35000,90000,,
1,Специалист по производству глинозема,Волгоградская область,2,20000,25000,,
1,Специалист по производству глинозема,Алтайский край,5,20000,25000,,
1,Специалист по производству глинозема,Астраханская область,1,15000,40000,,
1,Специалист по производству глинозема,Тамбовская область,3,14560,21840,,
1,Специалист по производству глинозема,Республика Коми,7,25000,90000,,
1,Специалист по производству глинозема,Республика Карелия,1,11285,18600,,
1,Специалист по производству глинозема,Тюменская область,4,100000,32000,,
1,Специалист по производству глинозема,Сахалинская область,10,25000,60000,,
1,Специалист по производству глинозема,Ярославская область,6,20000,30000,,
1,Специалист по производству глинозема,г. Санкт-Петербург,19,100000,82500,,
1,Специалист по производству глинозема,Тульская область,2,60000,60000,,
1,Специалист по производству глинозема,Амурская область,7,20000,90000,,
1,Специалист по производству глинозема,Мурманская область,4,25000,50000,,
1,Специалист по производству глинозема,Ульяновская область,3,12000,18000,,
1,Резчик холодного металла,Новосибирская область,2,35000,40000,,
1,Резчик холодного металла,Свердловская область,15,13000,55500,,
1,Резчик холодного металла,Республика Башкортостан,1,20000,20000,,
1,Резчик холодного металла,Калужская область,1,30000,30000,,
1,Резчик холодного металла,Нижегородская область,2,15000,33000,,
1,Резчик холодного металла,Вологодская область,1,30000,40000,,
1,Резчик холодного металла,Брянская область,3,20000,30000,,
1,Резчик холодного металла,Челябинская область,1,20000,20000,,
1,Резчик холодного металла,Кемеровская область,3,20000,30000,,
1,Резчик холодного металла,Московская область,7,30000,50000,,
1,Резчик холодного металла,Белгородская область,4,20000,30000,,
1,Резчик холодного металла,Тверская область,2,20000,20000,,
1,Резчик холодного металла,Пермский край,1,20000,20000,,
1,Резчик холодного металла,Краснодарский край,6,13000,56000,,
1,Резчик холодного металла,Приморский край,3,25000,37500,,
1,Резчик холодного металла,г. Санкт-Петербург,3,25000,37500,,
1,Дозировщик агломерационной шихты,Свердловская область,2,18000,27000,,
1,Дозировщик агломерационной шихты,Калужская область,2,38000,57000,,
1,Дозировщик агломерационной шихты,Нижегородская область,2,21320,21320,,
1,Дозировщик агломерационной шихты,Пермский край,1,30000,30000,,
1,Наладчик-ремонтник промышленного оборудования в металлургии,Республика Саха (Якутия),3,49000,73500,,
1,Наладчик-ремонтник промышленного оборудования в металлургии,Свердловская область,7,12000,60000,,
1,Наладчик-ремонтник промышленного оборудования в металлургии,Удмуртская Республика,16,35000,70000,,
1,Наладчик-ремонтник промышленного оборудования в металлургии,Ростовская область,14,15000,66000,,
1,Наладчик-ремонтник промышленного оборудования в металлургии,Калужская область,9,12000,45000,,
1,Наладчик-ремонтник промышленного оборудования в металлургии,Ханты-Мансийский автономный округ - Югра,10,25000,80000,,
1,Наладчик-ремонтник промышленного оборудования в металлургии,Чувашская Республика,2,52500,78750,,
1,Наладчик-ремонтник промышленного оборудования в металлургии,Нижегородская область,1,40000,60000,,
1,Наладчик-ремонтник промышленного оборудования в металлургии,Брянская область,1,25000,37500,,
1,Наладчик-ремонтник промышленного оборудования в металлургии,Республика Адыгея,3,11280,11280,,
1,Наладчик-ремонтник промышленного оборудования в металлургии,Республика Татарстан,3,30000,45000,,
1,Наладчик-ремонтник промышленного оборудования в металлургии,Кемеровская область,14,15000,52500,,
1,Наладчик-ремонтник промышленного оборудования в металлургии,Владимирская область,4,20000,23000,,
1,Наладчик-ремонтник промышленного оборудования в металлургии,Костромская область,1,25000,37500,,
1,Наладчик-ремонтник промышленного оборудования в металлургии,Хабаровский край,1,30000,40000,,
1,Наладчик-ремонтник промышленного оборудования в металлургии,Пензенская область,3,20000,20000,,
1,Наладчик-ремонтник промышленного оборудования в металлургии,Томская область,6,25000,45000,,
1,Наладчик-ремонтник промышленного оборудования в металлургии,Белгородская область,8,18000,30000,,
1,Наладчик-ремонтник промышленного оборудования в металлургии,Кировская область,21,13000,52500,,
1,Наладчик-ремонтник промышленного оборудования в металлургии,Краснодарский край,18,16000,40000,,
1,Наладчик-ремонтник промышленного оборудования в металлургии,Приморский край,10,20000,37500,,
1,Наладчик-ремонтник промышленного оборудования в металлургии,Ленинградская область,4,40000,40000,,
1,Наладчик-ремонтник промышленного оборудования в металлургии,Иркутская область,15,20000,44100,,
1,Наладчик-ремонтник промышленного оборудования в металлургии,Самарская область,5,16612,35000,,
1,Наладчик-ремонтник промышленного оборудования в металлургии,Забайкальский край,5,25000,37500,,
1,Наладчик-ремонтник промышленного оборудования в металлургии,Ивановская область,8,13000,60000,,
1,Наладчик-ремонтник промышленного оборудования в металлургии,Красноярский край,5,18048,45000,,
1,Наладчик-ремонтник промышленного оборудования в металлургии,г. Москва,46,22500,69000,,
1,Наладчик-ремонтник промышленного оборудования в металлургии,Волгоградская область,5,20000,28000,,
1,Наладчик-ремонтник промышленного оборудования в металлургии,Алтайский край,5,18000,40000,,
1,Наладчик-ремонтник промышленного оборудования в металлургии,Тамбовская область,6,11280,52500,,
1,Наладчик-ремонтник промышленного оборудования в металлургии,Республика Коми,3,25000,37500,,
1,Наладчик-ремонтник промышленного оборудования в металлургии,Тюменская область,3,32000,32000,,
1,Наладчик-ремонтник промышленного оборудования в металлургии,Сахалинская область,2,30000,40000,,
1,Наладчик-ремонтник промышленного оборудования в металлургии,Ярославская область,5,19000,33000,,
1,Наладчик-ремонтник промышленного оборудования в металлургии,г. Санкт-Петербург,2,30000,40000,,
1,Наладчик-ремонтник промышленного оборудования в металлургии,Тульская область,11,17241,37500,,
1,Наладчик-ремонтник промышленного оборудования в металлургии,Мурманская область,2,30000,30000,,
1,Наладчик-ремонтник промышленного оборудования в металлургии,Ульяновская область,10,17500,25000,,
1,Наладчик-ремонтник промышленного оборудования в металлургии,Липецкая область,3,16000,24000,,
1,Оператор автоматизированного процесса производства алюминия,Оренбургская область,4,20000,30000,,
1,Оператор автоматизированного процесса производства алюминия,Пермский край,2,27500,27500,,
